GRE Score;TOEFL Score;CGPA
340;120;9.91
334;120;9.87
298;105;8.54
295;99;7.65
315;99;7.89
310;102;8.02
305;106;8.16
301;104;8.12
325;108;9.06
328;110;9.14
338;120;9.66
333;119;9.78
331;117;9.42
330;116;9.36
322;112;9.26
321;109;9.13
324;110;8.97
312;104;8.42
313;103;8.75
316;110;8.56
324;113;8.79
308;109;8.45
305;105;8.23
296;99;8.03
306;110;8.45
312;110;8.53
318;112;8.67
324;111;9.01
313;104;8.65
319;106;8.33
312;107;8.27
304;100;8.07
330;113;9.31
326;111;9.23
325;112;9.17
329;114;9.19
310;104;8.37
299;100;7.89
296;101;7.68
317;103;8.15
324;115;8.76
325;114;9.04
314;107;8.56
328;110;9.02
316;105;8.73
311;104;8.48
324;110;8.87
321;111;8.83
320;104;8.57
316;99;9
318;100;8.54
335;115;9.68
321;114;9.12
307;110;8.37
309;99;8.56
324;100;8.64
326;102;8.76
331;119;9.34
327;108;9.13
312;104;8.09
308;103;8.36
324;111;8.79
325;110;8.76
313;102;8.68
312;105;8.45
314;107;8.17
327;113;9.14
308;108;8.34
306;105;8.22
299;96;7.86
294;95;7.64
312;99;8.01
315;100;7.95
322;110;8.96
329;113;9.45
320;101;8.62
308;103;8.49
304;102;8.73
311;102;8.64
317;110;9.11
312;106;8.79
321;111;8.9
340;112;9.66
331;116;9.26
336;118;9.19
324;114;9.08
314;104;9.02
313;109;9
307;105;7.65
300;102;7.87
302;99;7.97
312;98;8.18
316;101;8.32
317;100;8.57
310;107;8.67
320;120;9.11
330;114;9.24
305;112;8.65
309;106;8
319;108;8.76
322;105;8.45
323;107;8.55
313;106;8.43
321;109;8.8
323;110;9.1
325;112;9
312;108;8.53
308;110;8.6
320;104;8.74
328;108;9.18
311;107;9
301;100;8.04
305;105;8.13
308;104;8.07
298;101;7.86
300;99;8.01
324;111;8.8
327;113;8.69
317;106;8.5
323;104;8.44
314;107;8.27
305;102;8.18
315;104;8.33
326;116;9.14
299;100;8.02
295;101;7.86
324;112;8.77
297;96;7.89
327;113;8.66
311;105;8.12
308;106;8.21
319;108;8.54
312;107;8.65
325;111;9.11
319;110;8.79
332;118;9.47
323;108;8.74
324;107;8.66
312;107;8.46
326;110;8.76
308;106;8.24
305;103;8.13
295;96;7.34
316;98;7.43
304;97;7.64
299;94;7.34
302;99;7.25
313;101;8.04
318;107;8.27
325;110;8.67
303;100;8.06
300;102;8.17
297;98;7.67
317;106;8.12
327;109;8.77
301;104;7.89
314;105;7.64
321;107;8.44
322;110;8.64
334;116;9.54
338;115;9.23
306;103;8.36
313;102;8.9
330;114;9.17
320;104;8.34
311;98;7.46
298;92;7.88
301;98;8.03
310;103;8.24
324;110;9.22
336;119;9.62
321;109;8.54
315;105;7.65
304;101;7.66
297;96;7.43
290;100;7.56
303;98;7.65
311;99;8.43
322;104;8.84
319;105;8.67
324;110;9.15
300;100;8.26
340;113;9.74
335;117;9.82
302;101;7.96
307;105;8.1
296;97;7.8
320;108;8.44
314;102;8.24
318;106;8.65
326;112;9.12
317;104;8.76
329;111;9.23
324;110;9.04
325;107;9.11
330;116;9.45
312;103;8.78
333;117;9.66
